water_system_no,water_system_name,type,status,county,source_type,link
SC1072010,BUCKSHOT RESTAURANT (SC1072010),NC,A,CHARLESTON,GW,
SC2620003,BUCKSPORT WATER COMPANY (SC2620003),C,A,HORRY,GW,
SC2670407,BUDGET INN (SC2670407),NC,A,HORRY,GW,
SC1074006,BUILDERS FIRSTSOURCE (SC1074006),NC,A,CHARLESTON,GW,
SC3820001,BULL SWAMP RURAL WTR CO (SC3820001),C,A,ORANGEBURG,GW,
SC1060063,BURBAGE MHP (SC1060063),C,A,CHARLESTON,GW,
SC0220007,BURNETTOWN W/D (SC0220007),C,A,AIKEN,GW,
SC4671002,BUSH-N-VINE FARM (4671002),NC,A,YORK,GW,
SC0860063,BUTLERS MHP (SC0860063),C,A,BERKELEY,GW,
SC2350002,CAESARS HEAD WATER CO (SC2350002),NC,A,GREENVILLE,GW,
SC0110002,CALHOUN FALLS TOWN OF (SC0110002),C,A,ABBEVILLE,SWP,
SC0970875,CALHOUN HILLS GOLF COMPLEX (SC0970875),NC,A,CALHOUN,GW,
SC0750041,CALLAWASSIE ISLAND (SC0750041),C,A,BEAUFORT,SWP,
SC2810001,CAMDEN CITY OF (SC2810001),C,A,KERSHAW,SW,
SC0260038,CAMERON MHP (SC0260038),C,A,AIKEN,GW,
SC3270918,CAMP AGAPE (3270918),NC,A,LEXINGTON,GW,
SC2370684,CAMP AWANITA VALLEY (SC2370684),NC,A,GREENVILLE,GW,
SC1470675,CAMP BOB COOPER (SC1470675),NC,A,CLARENDON,GW,
SC4370675,CAMP BURNT GIN (SC4370675),NC,A,SUMTER,GW,
SC4670806,CAMP CANAAN (SC4670806),NC,A,YORK,GW,
SC3770928,CAMP CHATUGA (3770928),NC,A,OCONEE,GW,
SC2370677,CAMP GREENVILLE (SC2370677),NC,A,GREENVILLE,GW,
SC3970804,CAMP HANNON (SC3970804),NC,A,PICKENS,GW,
SC1070675,CAMP HO NON WAH (SC1070675),NC,A,CHARLESTON,GW,
SC3270680,CAMP KINARD (SC3270680),NC,A,LEXINGTON,GW,
SC0270678,CAMP LONG LEADERSHIP CENTER (0270678),NTNC,A,AIKEN,GW,
SC2070675,CAMP LONGRIDGE (SC2070675),NC,A,FAIRFIELD,GW,
SC2070678,CAMP LONGRIDGE BALLFIELDS (SC2070678),NC,A,FAIRFIELD,GW,
SC2370676,CAMP OLD INDIAN (SC2370676),NC,A,GREENVILLE,GW,
SC0870815,CAMP PARADISE SOUTH  (SC0870815),NC,A,BERKELEY,GW,
SC3470800,CAMP PEE DEE (SC3470800),NC,A,MARLBORO,GW,
SC2370680,CAMP WABAK (SC2370680),NC,A,GREENVILLE,GW,
SC0870402,CANAL LAKES FISH CAMP (SC0870402),NC,A,BERKELEY,GW,
SC0860027,CANAL LAKES MHP (SC0860027),NC,A,BERKELEY,GW,
SC1070678,CAPE ROMAIN NWR SEEWEE V (SC1070678),NC,A,CHARLESTON,GW,
SC1070140,CAPE ROMAIN SCHOOL (SC1070140),NTNC,A,CHARLESTON,GW,
SC4410003,CARLISLE TOWN OF (4410003),C,A,UNION,SWP,
SC1330001,CAROLINA CANNERS (SC1330001),NC,A,CHESTERFIELD,SWP,
SC4670984,CAROLINA FRESH FARMS INC (4670984),NC,A,YORK,GW,
SC1470857,CAROLINA KING (SC1470857),NC,A,CLARENDON,GW,
SC1251000,CAROLS CAFE,,A,,,
SC4660087,CARROLL MHP 1 (SC4660087),C,A,YORK,GW,
SC4660088,CARROLL MHP 2  (SC4660088),C,A,YORK,GW,
SC1870212,CARTER FAST STOP #3 (SC1870212),NC,A,DORCHESTER,GW,
SC3270206,"CARVANA, LLC (SC3270206)",NC,A,LEXINGTON,GW,
SC2820005,CASSATT WTR KERSHAW-LEE CO RWA,C,A,KERSHAW,GW,
SC4670118,CATAWBA BAPTIST CDC (SC4670118),NTNC,A,YORK,GW,
SC4670943,CATAWBA EXPRESS (SC4670943),NC,A,YORK,GW,
